latitude,longitude
28.02,91.529
28.129,91.538
28.137,91.549
28.158,91.53
27.779,91.838
27.953,92.088
27.956,92.118
27.969,92.163
28.259,92.946
28.138,92.587
28.017,92.556
28.05,92.575
28.058,92.65
27.917,92.583
27.933,92.847
27.859,92.454
28.358,91.879
28.458,92.735
28.646,93.263
29.287,94.745
29.358,94.838
29.57,95.189
29.657,95.169
29.597,95.006
29.53,94.986
29.436,94.942
29.367,94.902
29.023,94.027
29.038,94.04
29.079,94.043
28.708,93.689
28.793,93.548
28.842,93.259
28.843,93.266
28.889,93.302
28.894,93.251
28.746,93.117
28.394,91.058
28.45,90.662
28.85,90.234
28.946,90.37
28.984,90.256
29.022,90.28
28.959,90.153
28.396,90.037
28.194,89.735
28.167,89.591
28.787,88.277
28.794,87.63
29.054,87.259
29.109,86.528
29.068,86.131
29.057,86.13
28.979,85.037
28.919,84.956
28.956,84.437
28.947,84.416
28.912,84.233
29.402,83.814
29.276,83.495
29.286,83.463
29.704,83.07
29.958,82.503
30.152,82.243
30.248,82.161
30.764,82.432
30.772,82.65
30.75,82.847
30.833,83
30.683,83.292
30.587,83.373
30.52,83.425
30.472,83.566
30.524,84.084
30.363,83.958
30.354,83.947
30.47,83.771
30.402,83.824
30.388,83.841
30.331,83.809
30.346,83.938
30.311,83.914
30.284,83.915
29.878,84.54
29.802,84.573
29.836,84.65
29.997,84.862
29.995,84.932
29.98,84.998
29.968,85.004
29.982,84.997
30.014,84.971
29.706,85.951
29.684,85.937
29.691,86.409
29.689,86.5
29.674,86.814
29.66,86.852
29.622,86.856
29.669,86.87
29.706,87.454
29.824,87.529
29.769,87.514
29.711,87.229
30.082,89.391
30.092,89.629
30.139,89.663
29.883,89.931
29.503,89.852
29.822,90.126
29.591,90.488
29.877,90.244
29.978,90.135
30.113,90.291
30.129,90.261
30.245,90.289
30.233,90.438
30.277,90.507
30.316,90.491
30.343,90.619
30.402,90.663
30.415,90.652
30.53,90.952
30.824,91.482
30.776,91.785
30.512,91.864
30.237,92.619
30.23,92.606
30.288,92.28
30.329,91.991
30.335,91.986
29.461,92.636
29.456,92.633
29.39,92.835
29.481,93.053
29.426,93.659
29.588,93.606
29.732,93.463
29.728,93.447
29.685,93.497
29.636,93.358
29.588,93.086
29.761,92.959
